state,year,total,D,R,R_pv2p,D_pv2p,swing_r,swing_d,party,winner,candidate,pv,pv2p,incumbent,incumbent_party,prev_admin,margin_pct_nat,margin_pct_lag_nat,swing_nat,unemployment_nat_a,RDI_growth_a,inflation_a,stock_a,GDP_growth_a,term.x,unemployment_nat_t,RDI_growth_t,inflation_t,stock_t,GDP_growth_t,unemployment_loc_a,lfpr_loc_a,term.y,unemployment_loc_t,lfpr_loc_t,avg_support_10,avg_support_2,total_cost,R_pv2p_lag,D_pv2p_lag,pv2p_lag
Delaware,2016,441590,235603,185127,44.001378556318784,55.998621443681216,3.4483334755969466,-3.4483334755969466,democrat,FALSE,"Clinton, Hillary",47.05731122,51.16249043797541,FALSE,TRUE,TRUE,1.162490437975407,-1.915258039578788,3.077748477554195,4.875,0.004501783594864396,239.9891666666665,2105.8275145833327,0.513006542786284,16,5.916666666666665,0.004782031304307833,236.66441666666657,1938.6162515624994,0.6028874322873031,4.525,62.625,16,5.447916666666667,61.833333333333336,43.7899644444444,49.610695625,0,40.55304508072184,59.44695491927816,59.44695491927816
Delaware,2016,441590,235603,185127,44.001378556318784,55.998621443681216,3.4483334755969466,-3.4483334755969466,republican,TRUE,"Trump, Donald J.",44.91888231,48.83750956202459,FALSE,FALSE,FALSE,-1.162490437975407,1.162490437975407,-2.324980875950814,4.875,0.004501783594864396,239.9891666666665,2105.8275145833327,0.513006542786284,16,5.916666666666665,0.004782031304307833,236.66441666666657,1938.6162515624994,0.6028874322873031,4.525,62.625,16,5.447916666666667,61.833333333333336,34.7529425925926,34.802116874999996,0,40.55304508072184,59.44695491927816,40.55304508072184
District of Columbia,1976,168830,137818,27873,16.822277613147367,83.17772238685264,-27.17910094317142,27.17910094317142,democrat,TRUE,"Carter, Jimmy",49.85266664,51.13734917444963,FALSE,FALSE,FALSE,1.137349174449632,-11.78900883147498,12.926358005924612,7.7,0.007970084722630813,56.93333333333332,102.79083316666674,1.0640058056245374,6,6.66875,0.00469414917043684,51.125,94.4777085208333,0.5526784785296639,8.95,64.76666666666667,6,8.95,64.76666666666667,NA,NA,NA,21.630550250839715,78.36944974916028,78.36944974916028
District of Columbia,1976,168830,137818,27873,16.822277613147367,83.17772238685264,-27.17910094317142,27.17910094317142,republican,FALSE,"Ford, Gerald",47.63511371,48.86265082555036,TRUE,TRUE,TRUE,-1.1373491744496391,1.137349174449632,-2.274698348899271,7.7,0.007970084722630813,56.93333333333332,102.79083316666674,1.0640058056245374,6,6.66875,0.00469414917043684,51.125,94.4777085208333,0.5526784785296639,8.95,64.76666666666667,6,8.95,64.76666666666667,NA,NA,NA,21.630550250839715,78.36944974916028,21.630550250839715
District of Columbia,1980,173889,130231,23313,15.183269942166413,84.8167300578336,-1.639007670980952,1.6390076709809591,democrat,FALSE,"Carter, Jimmy",41.01993031,44.84244123187356,TRUE,TRUE,FALSE,-5.157558768126442,-1.1373491744496391,-4.020209593676803,7.175,0.00491764655008681,82.38333333333333,119.57833291666651,2.876509205468336e-5,7,6.535416666666667,0.00665279504411072,70.20625,103.96166662500003,0.7965632427413756,7.366666666666667,65.50833333333333,7,7.9625,65.32083333333333,NA,NA,NA,16.822277613147367,83.17772238685264,83.17772238685264
District of Columbia,1980,173889,130231,23313,15.183269942166413,84.8167300578336,-1.639007670980952,1.6390076709809591,republican,TRUE,"Reagan, Ronald",50.45575474,55.157558768126435,FALSE,FALSE,FALSE,5.157558768126435,-5.157558768126442,10.315117536252878,7.175,0.00491764655008681,82.38333333333333,119.57833291666651,2.876509205468336e-5,7,6.535416666666667,0.00665279504411072,70.20625,103.96166662500003,0.7965632427413756,7.366666666666667,65.50833333333333,7,7.9625,65.32083333333333,NA,NA,NA,16.822277613147367,83.17772238685264,16.822277613147367
District of Columbia,1984,211288,180408,29009,13.852266052899239,86.14773394710076,-1.3310038892671727,1.3310038892671656,democrat,FALSE,"Mondale, Walter",40.41861657,40.876648809274144,FALSE,FALSE,TRUE,-9.123351190725856,5.157558768126435,-14.280909958852291,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859,9.175,66.575,8,9.94375,64.59375,NA,NA,NA,15.183269942166413,84.8167300578336,84.8167300578336
District of Columbia,1984,211288,180408,29009,13.852266052899239,86.14773394710076,-1.3310038892671727,1.3310038892671656,republican,TRUE,"Reagan, Ronald",58.46086046,59.12335119072585,TRUE,TRUE,FALSE,9.123351190725849,-9.123351190725856,18.246702381451705,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859,9.175,66.575,8,9.94375,64.59375,NA,NA,NA,15.183269942166413,84.8167300578336,15.183269942166413
District of Columbia,1988,192877,159407,27590,14.754247394343226,85.24575260565678,0.9019813414439852,-0.9019813414439852,democrat,FALSE,"Dukakis, Michael",45.54877735,46.167544710005984,FALSE,FALSE,FALSE,-3.832455289994016,9.123351190725849,-12.955806480719865,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095,5.033333333333333,70.8,9,6.760416666666667,68.72708333333334,NA,NA,NA,13.852266052899239,86.14773394710076,86.14773394710076
District of Columbia,1988,192877,159407,27590,14.754247394343226,85.24575260565678,0.9019813414439852,-0.9019813414439852,republican,TRUE,"Bush, George H.W.",53.11095783,53.832455289994016,FALSE,TRUE,TRUE,3.832455289994016,-3.832455289994016,7.664910579988032,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095,5.033333333333333,70.8,9,6.760416666666667,68.72708333333334,NA,NA,NA,13.852266052899239,86.14773394710076,13.852266052899239
